COD_EDO,EDO,COD_MUN,MUN,COD_PAR,PAR,CENTRO,MESA,VOTOS_VALIDOS,VOTOS_NULOS,EG,NM,LM,JABE,JOBR,AE,CF,DC,EM,BERA,URL,,,,,,
11,EDO. LARA,2,MP. IRIBARREN,438,PQ. GUERRERA ANA SOTO,110207023,1,589,1,422,150,8,2,2,2,0,1,2,0,https://static.resultadosconvzla.com/720660_360640_0177Acta0176.jpg,,,,,,
11,EDO. LARA,2,MP. IRIBARREN,438,PQ. GUERRERA ANA SOTO,110207023,2,608,0,417,170,5,3,2,4,0,1,2,4,https://static.resultadosconvzla.com/720660_055601_0179Acta0178.jpg,,,,,,
11,EDO. LARA,2,MP. IRIBARREN,438,PQ. GUERRERA ANA SOTO,110207023,3,593,1,424,140,13,1,3,7,0,2,1,2,https://static.resultadosconvzla.com/720660_699419_0181Acta0180.jpg,,,,,,
11,EDO. LARA,2,MP. IRIBARREN,438,PQ. GUERRERA ANA SOTO,110207025,1,593,0,469,106,3,3,1,3,0,0,3,5,https://static.resultadosconvzla.com/720660_604071_0023Acta0022.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101008,2,478,0,332,130,7,0,1,2,1,0,2,3,https://static.resultadosconvzla.com/454402_856892_0279Acta0241.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101008,3,492,0,365,113,3,3,0,4,1,0,2,1,https://static.resultadosconvzla.com/454402_998407_0278Acta0240.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101009,1,551,0,429,106,5,0,2,1,0,1,3,4,https://static.resultadosconvzla.com/454402_746486_0494Acta0456.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101009,2,571,0,428,127,8,1,0,4,0,0,0,3,https://static.resultadosconvzla.com/454402_562865_0493Acta0455.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101009,3,578,0,456,102,11,0,1,4,0,0,3,1,https://static.resultadosconvzla.com/454402_955205_0492Acta0454.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101010,1,558,0,426,114,11,0,1,3,0,1,1,1,https://static.resultadosconvzla.com/454402_930619_0360Acta0322.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101010,2,551,0,415,122,6,0,0,3,0,1,2,2,https://static.resultadosconvzla.com/454402_686839_0366Acta0328.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101014,1,358,0,230,107,9,0,1,6,0,0,2,3,https://static.resultadosconvzla.com/454402_769931_0370Acta0332.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101015,1,403,0,317,74,4,0,2,1,2,0,1,2,https://static.resultadosconvzla.com/454402_587060_0376Acta0338.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101015,2,422,0,329,80,4,0,0,2,1,2,2,2,https://static.resultadosconvzla.com/454402_356931_0375Acta0337.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101018,1,427,0,326,95,1,0,1,1,1,0,0,2,https://static.resultadosconvzla.com/454402_163152_0491Acta0453.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101019,1,184,0,106,72,2,0,2,0,1,0,1,0,https://static.resultadosconvzla.com/454402_499335_0374Acta0336.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101020,1,263,0,93,165,3,0,0,0,1,0,0,1,https://static.resultadosconvzla.com/454402_618022_0495Acta0457.jpg,,,,,,
15,EDO.NVA.ESPARTA,1,MP. ARISMENDI,673,CM. LA ASUNCION,150101023,1,226,0,119,101,3,0,0,1,1,0,1,0,https://static.resultadosconvzla.com/454402_656871_0377Acta0339.jpg,,,,,,
15,EDO.NVA.ESPARTA,2,MP. DIAZ,674,CM. SAN JUAN BAUTISTA,150201001,1,475,0,359,105,3,0,0,4,1,0,3,0,https://static.resultadosconvzla.com/417922_418453_0206Acta0194.jpg,,,,,,
15,EDO.NVA.ESPARTA,2,MP. DIAZ,674,CM. SAN JUAN BAUTISTA,150201001,2,497,0,367,117,5,1,0,3,0,0,2,2,https://static.resultadosconvzla.com/417922_540850_0203Acta0191.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402009,2,338,1,220,98,5,1,10,2,1,0,0,1,https://static.resultadosconvzla.com/021223_557738_0856Acta0209.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402010,1,561,0,261,275,9,2,3,4,2,1,2,2,https://static.resultadosconvzla.com/021223_028400_0860Acta0210.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402010,2,532,0,257,255,7,2,1,5,0,0,1,4,https://static.resultadosconvzla.com/021223_077413_0840Acta0205.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402012,1,287,0,148,133,4,1,0,0,0,0,1,0,https://static.resultadosconvzla.com/021223_285939_0842Acta0205.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402014,1,472,0,262,195,8,1,1,3,1,1,0,0,https://static.resultadosconvzla.com/021223_102965_0268Acta0083.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402015,1,508,0,314,183,5,0,2,2,0,0,1,1,https://static.resultadosconvzla.com/021223_217603_0857Acta0209.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402015,2,518,0,329,175,7,0,3,2,0,1,0,1,https://static.resultadosconvzla.com/021223_947436_0854Acta0208.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402017,1,531,0,303,210,4,2,3,3,0,2,2,2,https://static.resultadosconvzla.com/021223_399942_0839Acta0205.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402018,1,490,0,255,222,5,0,0,3,0,1,1,3,https://static.resultadosconvzla.com/021223_403940_0862Acta0211.jpg,,,,,,
